latitude,longitude,altitude,gs,timestamp,fix_quality
-19.87033843,-43.96290588,160.09,103.89,1776431212000,1
-19.87033843,-43.96290588,160.09,103.89,1776431212000,1
-19.87033843,-43.96289825,160.15,116.86,1776431212599,1
-19.87033843,-43.96289825,160.15,116.86,1776431212599,1
-19.87033271,-43.96289825,160.15,116.86,1776431212599,1
-19.87033271,-43.96289443,160.15,96.67,1776431213400,1
-19.87033271,-43.96289443,160.15,96.67,1776431213400,1
-19.87033271,-43.96289443,160.15,96.67,1776431213400,1
-19.87033271,-43.96289443,160.15,96.67,1776431213400,1
-19.87032890,-43.96289443,160.15,96.67,1776431213400,1
-19.87032890,-43.96288299,160.15,81.85,1776431214200,1
-19.87032699,-43.96288299,160.15,81.85,1776431214200,1
-19.87032699,-43.96287918,160.60,97.41,1776431214599,1
-19.87032318,-43.96287918,160.60,97.41,1776431214599,1
-19.87032318,-43.96287536,160.62,103.71,1776431215000,1
-19.87032127,-43.96287536,160.62,103.71,1776431215000,1
-19.87032127,-43.96287536,160.62,71.67,1776431215400,1
-19.87032127,-43.96287536,160.62,71.67,1776431215400,1
-19.87032318,-43.96287536,160.62,71.67,1776431215400,1
-19.87031936,-43.96287155,160.60,87.04,1776431216000,1
-19.87031936,-43.96286773,160.60,90.00,1776431216400,1
-19.87031745,-43.96286773,160.60,90.00,1776431216400,1
-19.87031745,-43.96286773,160.64,69.45,1776431216599,1
-19.87031555,-43.96286773,160.64,69.45,1776431216599,1
-19.87031555,-43.96286392,160.66,51.11,1776431217000,1
-19.87031555,-43.96286392,160.66,51.11,1776431217000,1
-19.87030982,-43.96286392,160.66,51.11,1776431217000,1
-19.87030982,-43.96285629,161.16,85.74,1776431217599,1
-19.87030982,-43.96285629,161.16,85.74,1776431217599,1
-19.87030792,-43.96285629,161.16,85.74,1776431217599,1
-19.87030792,-43.96285247,161.16,70.93,1776431218200,1
-19.87030792,-43.96285247,161.16,70.93,1776431218200,1
-19.87030792,-43.96285247,161.16,70.93,1776431218200,1
-19.87030410,-43.96285247,161.16,70.93,1776431218200,1
-19.87030410,-43.96284866,161.15,80.19,1776431219000,1
-19.87030220,-43.96284866,161.15,80.19,1776431219000,1
-19.87030220,-43.96284484,161.25,82.04,1776431219200,1
-19.87030220,-43.96284484,161.25,82.04,1776431219200,1
-19.87030220,-43.96284484,161.26,82.04,1776431219200,1
-19.87030220,-43.96284484,161.26,82.04,1776431219200,1
-19.87030220,-43.96284484,161.26,82.04,1776431219200,1
-19.87029457,-43.96284484,161.26,82.04,1776431219200,1
-19.87029457,-43.96283340,161.29,90.56,1776431220600,1
-19.87029457,-43.96283340,161.29,90.56,1776431220600,1
-19.87029457,-43.96283340,161.29,90.56,1776431220600,1
-19.87029457,-43.96283340,161.29,90.56,1776431220600,1
-19.87029838,-43.96283340,161.29,90.56,1776431220600,1
-19.87029457,-43.96282196,160.55,42.41,1776431221600,1
-19.87029266,-43.96282196,160.55,9.13,1776431222000,1
-19.87029266,-43.96282196,160.56,5.98,1776431222200,1
-19.87029266,-43.96282196,160.56,5.98,1776431222200,1
-19.87029266,-43.96282196,160.56,5.98,1776431222200,1
-19.87028312,-43.96282196,160.56,5.98,1776431222200,1
-19.87028312,-43.96281814,160.56,614.30,1776431223000,1
-19.87028121,-43.96281814,160.56,614.30,1776431223000,1
-19.87028121,-43.96282196,160.37,635.23,1776431223400,1
-19.87028121,-43.96282196,160.37,635.23,1776431223400,1
-19.87028121,-43.96282196,160.35,9.69,1776431223599,1
-19.87028121,-43.96282196,160.35,9.69,1776431223599,1
-19.87027931,-43.96282196,160.35,9.69,1776431223599,1
-19.87027931,-43.96282196,160.31,58.15,1776431224400,1
-19.87027549,-43.96282196,160.31,58.15,1776431224400,1
-19.87027359,-43.96282958,160.85,0.00,1776431224800,1
-19.87027359,-43.96282958,160.85,0.00,1776431225000,1
-19.87027359,-43.96282958,160.85,0.00,1776431225000,1
-19.87027359,-43.96282958,160.83,0.00,1776431225400,1
-19.87027359,-43.96282958,160.83,0.00,1776431225400,1
-19.87027359,-43.96282958,160.83,0.00,1776431225400,1
-19.87027359,-43.96282958,160.83,0.00,1776431226000,1
-19.87027359,-43.96282958,160.83,0.00,1776431226000,1
-19.87027359,-43.96283340,161.68,0.00,1776431226400,1
-19.87027359,-43.96283340,161.68,0.00,1776431226400,1
-19.87027359,-43.96283340,161.66,0.00,1776431226800,1
-19.87027359,-43.96283340,161.66,0.00,1776431226800,1
-19.87027359,-43.96283340,161.65,0.00,1776431227199,1
-19.87027359,-43.96283340,161.65,0.00,1776431227199,1
-19.87027359,-43.96283340,161.65,0.00,1776431227199,1
-19.87027359,-43.96283340,161.64,0.00,1776431227800,1
-19.87027359,-43.96283340,161.64,0.00,1776431227800,1
-19.87027359,-43.96283340,161.64,0.00,1776431227800,1
-19.87027359,-43.96283340,161.64,0.00,1776431227800,1
-19.87027359,-43.96283340,161.86,0.00,1776431227800,1
-19.87027359,-43.96283340,161.86,0.00,1776431227800,1
-19.87027168,-43.96283340,161.86,0.00,1776431227800,1
-19.87027168,-43.96283340,161.85,0.00,1776431229199,1
-19.87027168,-43.96283340,161.85,0.00,1776431229199,1
-19.87026786,-43.96283340,161.85,0.00,1776431229199,1
-19.87026786,-43.96284103,161.97,585.04,1776431229800,1
-19.87026786,-43.96284103,161.97,585.04,1776431229800,1
-19.87026786,-43.96284103,161.97,585.04,1776431229800,1
-19.87026786,-43.96284103,161.97,585.04,1776431229800,1
-19.87026786,-43.96284103,161.97,585.04,1776431229800,1
-19.87026786,-43.96284866,162.00,598.56,1776431230800,1
-19.87026596,-43.96284866,162.00,598.56,1776431230800,1
-19.87026596,-43.96284866,162.01,589.86,1776431231199,1
-19.87026596,-43.96284866,162.01,589.86,1776431231199,1
-19.87026596,-43.96284866,162.01,589.86,1776431231199,1
-19.87026596,-43.96284866,162.01,589.86,1776431231199,1
-19.87026214,-43.96284866,162.01,589.86,1776431231199,1
-19.87026214,-43.96285629,161.92,572.26,1776431232199,1
-19.87026023,-43.96285629,161.92,572.26,1776431232199,1
-19.87026023,-43.96285629,161.92,500.04,1776431232600,1
-19.87026023,-43.96285629,161.92,500.04,1776431232600,1
-19.87026023,-43.96285629,161.95,466.14,1776431233000,1
-19.87026023,-43.96285629,161.95,466.14,1776431233000,1
-19.87026023,-43.96285629,161.95,466.14,1776431233000,1
